"","x"
"2086",0.005
"2087",0
"2088",-0.005
"2089",0
"2090",0.005
"2091",0
"2092",0
"2093",0
"2094",0.005
"2095",0
"2096",0
"2097",-0.005
"2098",0
"2099",0.005
"2100",0
"2101",0
"2102",-0.005
"2103",0
"2104",0.01
"2105",0.01
"2106",0
"2107",0
"2108",0
"2109",0
"2110",0
"2111",-0.005
"2112",0.005
"2113",0
"2114",0.005
"2115",0
"2116",0
"2117",0.005
"2118",-0.005
"2119",0
"2120",0
"2121",0
"2122",0
"2123",0
"2124",0.005
"2125",0
"2126",0
"2127",0.005
"2128",0
"2129",0
"2130",0
"2131",0
"2132",-0.01
"2133",0
"2134",0.005
"2135",0
"2136",0
"2137",0.005
"2138",0.005
"2139",0
"2140",0
"2141",-0.005
"2142",0
"2143",0.005
"2144",0
"2145",0
"2146",0
"2147",0
"2148",0
"2149",0
"2150",0
"2151",0
"2152",0
"2153",0
"2154",0
"2155",-0.005
"2156",0
"2157",-0.005
"2158",0
"2159",0.005
"2160",0
"2161",0
"2162",-0.005
"2163",0.005
"2164",0
"2165",-0.005
"2166",0.005
"2167",0.005
"2168",0
"2169",0
"2170",0.00499999999999995
"2171",0
"2172",0
"2173",0
"2174",0
"2175",-0.01
"2176",0
"2177",-0.005
"2178",-0.005
"2179",0
"2180",0
"2181",0
"2182",0
"2183",0.00499999999999995
"2184",0
"2185",0
"2186",0
"2187",0
"2188",0
"2189",0
"2190",0.005
"2191",0
"2192",0
"2193",0
"2194",0
"2195",-0.005
"2196",0.005
"2197",-0.005
"2198",0.01
"2199",0.005
"2200",0
"2201",0
"2202",0
"2203",0
"2204",0
"2205",-0.005
"2206",0
"2207",0
"2208",-0.005
"2209",0
"2210",0
"2211",0
"2212",0
"2213",0
"2214",0.005
"2215",0
"2216",0
"2217",0
"2218",0
"2219",0
"2220",0
"2221",0
"2222",0
"2223",0
"2224",0.005
"2225",0.005
"2226",0.01
"2227",0
"2228",0
"2229",-0.00499999999999995
"2230",0
"2231",0
"2232",0
"2233",0
"2234",0.005
"2235",-0.005
"2236",0
"2237",0
"2238",0
"2239",0
"2240",-0.005
"2241",0
"2242",-0.005
"2243",0
"2244",-0.005
"2245",0
"2246",0
"2247",0
"2248",0.005
"2249",0
"2250",0
"2251",0.005
"2252",-0.005
"2253",0
"2254",0
"2255",0
"2256",0.005
"2257",0
"2258",0
"2259",-0.005
"2260",0
"2261",0
"2262",0
"2263",0
"2264",0
"2265",0
"2266",0
"2267",0
"2268",0.005
"2269",-0.00499999999999995
"2270",-0.005
"2271",-0.005
"2272",0
"2273",0
"2274",0
"2275",0
"2276",0
"2277",0
"2278",0
"2279",0
"2280",0
"2281",0
"2282",-0.00499999999999995
"2283",0
"2284",0
"2285",0
"2286",0
"2287",0
"2288",0.005
"2289",0.005
"2290",0.005
"2291",0
"2292",0
"2293",0
"2294",0
"2295",-0.005
"2296",0
"2297",0
"2298",0
"2299",-0.005
"2300",0
"2301",0
"2302",0
"2303",0
"2304",0
"2305",0
"2306",-0.005
"2307",0
"2308",0.005
"2309",0
"2310",0
"2311",0
"2312",0.005
"2313",0.005
"2314",0
"2315",-0.01
"2316",0
"2317",0.005
"2318",-0.00499999999999995
"2319",-0.005
"2320",0
"2321",0.01
"2322",0
"2323",0
"2324",0
"2325",0.005
"2326",0.005
"2327",0.005
"2328",0.005
"2329",0
"2330",0
"2331",0.005
"2332",0
"2333",0
"2334",0
"2335",0
"2336",0
"2337",0
"2338",0
"2339",0.005
"2340",0.005
"2341",-0.01
"2342",-0.005
"2343",0.005
"2344",0
"2345",-0.005
"2346",0
"2347",-0.005
"2348",0
"2349",0
"2350",0
"2351",0
"2352",0
"2353",0.005
"2354",0.005
"2355",0.005
"2356",0
"2357",0.005
"2358",-0.00499999999999995
"2359",0
"2360",0
"2361",0
"2362",0
"2363",-0.005
"2364",0
"2365",0
"2366",0
"2367",0
"2368",0
"2369",0
"2370",0
"2371",0.005
"2372",0.005
"2373",-0.005
"2374",0
"2375",0.005
"2376",0.005
"2377",0
"2378",0
"2379",-0.005
"2380",0
"2381",0.005
"2382",0
"2383",-0.005
"2384",0
"2385",0
"2386",0
"2387",0
"2388",0
"2389",-0.005
"2390",0
"2391",-0.005
"2392",-0.005
"2393",0.005
"2394",-0.005
"2395",0
"2396",0
"2397",0
"2398",0
"2399",0
"2400",-0.005
"2401",0.005
"2402",0
"2403",0
"2404",-0.01
"2405",-0.005
"2406",0
"2407",-0.015
"2408",0
"2409",0
"2410",-0.005
"2411",0.005
"2412",0.005
"2413",0
"2414",0
"2415",0
"2416",0
"2417",0.005
"2418",0
"2419",0
"2420",0
"2421",0.005
"2422",0.005
"2423",0
"2424",0.005
"2425",0
"2426",0
"2427",0
"2428",0.005
"2429",0
"2430",-0.005
"2431",0
"2432",-0.00499999999999995
"2433",0.005
"2434",0
"2435",0.005
"2436",0
"2437",0.005
"2438",-0.005
"2439",-0.005
"2440",-0.005
"2441",0.005
"2442",0
"2443",0
"2444",0
"2445",-0.01
"2446",0
"2447",-0.005
"2448",0
"2449",0
"2450",0
"2451",0
"2452",0
"2453",0
"2454",0.005
"2455",-0.005
"2456",-0.005
"2457",0
"2458",0
"2459",0.01
"2460",0
"2461",0
"2462",0
"2463",-0.005
"2464",0
"2465",-0.00499999999999995
"2466",0
"2467",0
"2468",0
"2469",0
"2470",0
"2471",0
"2472",0
"2473",0
"2474",0
"2475",0.00499999999999995
"2476",0.005
"2477",0
"2478",0
"2479",0
"2480",0.005
"2481",0.005
"2482",-0.005
"2483",0
"2484",0
"2485",-0.005
"2486",0
"2487",0.005
"2488",0
"2489",0.005
"2490",0.005
"2491",0
"2492",0
"2493",0
"2494",0
"2495",0.005
"2496",0
"2497",0
"2498",0.005
"2499",0
"2500",0
"2501",0.005
"2502",0
"2503",0.005
"2504",-0.005
"2505",0
"2506",0
"2507",0
"2508",0.005
"2509",0.005
"2510",0
"2511",0
"2512",0.005
"2513",0
"2514",0.005
"2515",0
"2516",0.005
"2517",0
"2518",-0.005
"2519",0
"2520",0
"2521",0
"2522",-0.005
"2523",-0.005
"2524",0
"2525",0
"2526",0
"2527",0
"2528",-0.005
"2529",-0.005
"2530",0
"2531",0
"2532",0
"2533",0
"2534",0.005
"2535",0
"2536",0
"2537",0.005
"2538",0
"2539",0
"2540",-0.005
"2541",0
"2542",-0.005
"2543",0.005
"2544",0
"2545",0
"2546",0.005
"2547",0
"2548",0
"2549",0
"2550",0
"2551",-0.005
"2552",0.005
"2553",0
"2554",0
"2555",0
"2556",0
"2557",0
"2558",0
"2559",0.00499999999999995
"2560",-0.005
"2561",0
"2562",-0.005
"2563",0.005
"2564",0
"2565",0
"2566",0.005
"2567",0.005
"2568",0
"2569",0
"2570",0
"2571",0
"2572",0
"2573",-0.01
"2574",-0.005
"2575",-0.005
"2576",0
"2577",0.005
"2578",0
"2579",0.00999999999999995
"2580",0.01
"2581",0
"2582",0
"2583",-0.01
"2584",0.005
"2585",-0.005
"2586",0.005
"2587",0
"2588",0
"2589",-0.00499999999999995
"2590",-0.005
"2591",0
"2592",0.005
"2593",0
"2594",-0.005
"2595",0
"2596",0
"2597",0
"2598",0
"2599",0.005
"2600",0
"2601",0
"2602",-0.005
"2603",0.005
"2604",0.005
"2605",0.01
"2606",0.00499999999999995
"2607",0.005
"2608",0.005
"2609",0.005
"2610",0.005
"2611",0
"2612",0
"2613",0
"2614",0
"2615",0
"2616",0
"2617",-0.005
"2618",-0.005
"2619",0
"2620",0
"2621",0
"2622",0
"2623",0.00499999999999995
"2624",0
"2625",-0.01
"2626",0
"2627",0
"2628",0.005
"2629",0
"2630",0.005
"2631",0
"2632",0.005
"2633",0
"2634",0
"2635",0.005
"2636",0
"2637",0
"2638",0
"2639",0.00499999999999995
"2640",0.01
"2641",0
"2642",0
"2643",0
"2644",-0.005
"2645",0.005
"2646",-0.005
"2647",0
"2648",0
"2649",0.005
"2650",-0.005
"2651",0.005
"2652",0
"2653",-0.005
"2654",0
"2655",-0.005
"2656",0.005
"2657",0
"2658",0.005
"2659",0
"2660",0
"2661",0
"2662",0.005
"2663",0
"2664",-0.00499999999999995
"2665",-0.005
"2666",0
"2667",0
"2668",0
"2669",-0.005
"2670",0.005
"2671",-0.005
"2672",0
"2673",0
"2674",-0.005
"2675",0
"2676",0
"2677",0
"2678",0
"2679",0
"2680",0
"2681",0.005
"2682",0.005
"2683",0
"2684",0
"2685",0
"2686",0
"2687",0.01
"2688",0
"2689",0.005
"2690",0
"2691",0
"2692",0.015
"2693",0
"2694",-0.005
"2695",0
"2696",-0.005
"2697",0
"2698",0
"2699",-0.005
"2700",-0.00499999999999995
"2701",0
"2702",0
"2703",0
"2704",0
"2705",-0.00499999999999995
"2706",0
"2707",0
"2708",0
"2709",0.005
"2710",0.005
"2711",0
"2712",-0.005
"2713",0
"2714",0
"2715",0
"2716",0
"2717",-0.005
"2718",-0.005
"2719",0
"2720",0
"2721",0
"2722",-0.005
"2723",0
"2724",0
"2725",0.005
"2726",-0.01
"2727",-0.00499999999999995
"2728",0
"2729",-0.005
"2730",0
"2731",0
"2732",0.005
"2733",-0.005
"2734",0
"2735",0
"2736",0
"2737",-0.005
"2738",0
"2739",0
"2740",0
"2741",0
"2742",0.00499999999999995
"2743",0
"2744",-0.00499999999999995
"2745",0.005
"2746",0
"2747",0
"2748",0
"2749",0
"2750",0
"2751",0
"2752",-0.005
"2753",0
"2754",0
"2755",0
"2756",-0.005
"2757",0
"2758",0
"2759",0
"2760",0.005
"2761",0
"2762",0
"2763",-0.005
"2764",0
"2765",0
"2766",0.005
"2767",0
"2768",0
"2769",-0.005
"2770",0
"2771",0.00499999999999995
"2772",0
"2773",0
"2774",0.005
"2775",0.005
"2776",0.005
"2777",0
"2778",0
"2779",0.005
"2780",0.00499999999999995
"2781",0
"2782",0
"2783",0.005
"2784",0
"2785",0.005
"2786",0
"2787",0
"2788",0
"2789",0
"2790",0
"2791",0
"2792",0
"2793",0
"2794",0.005
"2795",-0.005
"2796",0.005
"2797",0.005
"2798",0.005
"2799",0
"2800",0
"2801",0.00499999999999995
"2802",-0.005
"2803",-0.01
"2804",0.005
"2805",0.005
"2806",-0.005
"2807",0
"2808",0.005
"2809",0.005
"2810",0.00499999999999998
"2811",0
"2812",0
"2813",0
"2814",0.005
"2815",0.005
"2816",0.005
"2817",0
"2818",0
"2819",0
"2820",0.005
"2821",0
"2822",0
"2823",0
"2824",0
"2825",0
"2826",0
"2827",0
"2828",0
"2829",-0.005
"2830",0
"2831",0
"2832",0.00999999999999995
"2833",0.005
"2834",-0.005
"2835",0
"2836",-0.005
"2837",0.01
"2838",0
"2839",0
"2840",-0.005
"2841",0.005
"2842",0.005
"2843",0
"2844",0.005
"2845",-0.005
"2846",0
"2847",0
"2848",0.005
"2849",-0.005
"2850",0
"2851",0
"2852",0
"2853",0
"2854",0
"2855",0
"2856",0
"2857",0
"2858",0
"2859",-0.005
"2860",0
"2861",-0.005
"2862",0
"2863",0
"2864",0
"2865",-0.00999999999999995
"2866",0
"2867",0
"2868",0
"2869",0
"2870",0
"2871",-0.005
"2872",0
"2873",0
"2874",0
"2875",0.005
"2876",0
"2877",0.005
"2878",0.00499999999999995
"2879",0
"2880",0
"2881",0
"2882",0
"2883",0
"2884",0.005
"2885",0
"2886",-0.005
"2887",-0.005
"2888",0
"2889",0
"2890",0.01
"2891",0
"2892",0.005
"2893",-0.00499999999999995
"2894",0
"2895",-0.01
"2896",-0.01
"2897",0
"2898",0.005
"2899",-0.005
"2900",0
"2901",0
"2902",-0.005
"2903",0
"2904",0.005
"2905",0.00499999999999995
"2906",0.01
"2907",-0.005
"2908",0.005
"2909",0.005
"2910",0
"2911",-0.005
"2912",0.005
"2913",0
"2914",0
"2915",-0.005
"2916",0
"2917",0
"2918",-0.005
"2919",0
"2920",0.01
"2921",0
"2922",0
"2923",0
"2924",0
"2925",0.005
"2926",0
"2927",0.005
"2928",0
"2929",0.005
"2930",-0.01
"2931",0.005
"2932",0.005
"2933",-0.005
"2934",0
"2935",0
"2936",0.00499999999999995
"2937",0
"2938",0
"2939",0
"2940",0
"2941",0
"2942",0.005
"2943",0.005
"2944",0
"2945",0.005
"2946",0
"2947",0.00499999999999995
"2948",-0.005
"2949",-0.005
"2950",0.005
"2951",0
"2952",-0.005
"2953",0
"2954",0
"2955",0
"2956",-0.005
"2957",0
"2958",0
"2959",0.005
"2960",0.005
"2961",0
"2962",0.005
"2963",0
"2964",-0.005
"2965",0
"2966",0.005
"2967",-0.005
"2968",-0.005
"2969",0
"2970",0
"2971",0
"2972",0.005
"2973",0
"2974",0.005
"2975",0
"2976",0
"2977",0.00499999999999995
"2978",0
"2979",0
"2980",0
"2981",0
"2982",0.01
"2983",0.005
"2984",0
"2985",0
"2986",0
"2987",0
"2988",0
"2989",0
"2990",0
"2991",0
"2992",0
"2993",0
"2994",-0.00499999999999995
"2995",0
"2996",0.005
"2997",-0.005
"2998",0
"2999",0
"3000",0
